title,meta_tags
The Golden Compass,adventure fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel overhearing shocking secret precocious orphan lyra belacqua trade carefree existence roaming hall jordan college otherworldly adventure far north unaware part destiny
King Kong,adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur 1933 new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady
Titanic,drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class difference imax star crossed lover steerage salvage rich snob 3d 1910s 84 year later 101 year old woman named rose dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship called titanic young board departing upper class passenger mother ruth fianc caledon hockley meanwhile drifter artist jack dawson best friend fabrizio de rossi win third ticket game explains whole departure death first last voyage 15th 2 20 morning
Captain America: Civil War,adventure action science fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d following event age ultron collective government world pas act designed regulate superhuman activity polarizes opinion amongst avenger causing two faction side iron man captain america cause epic battle former ally
Battleship,thriller action adventure science fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communication expert joint chief of staff crash landing jet fighter pilot navy lieutenant permission to marry us john paul jones based on board game aftercreditsstinger mighty mo us missouri mankind beam radio signal space reply come planet g form several alien craft splash water hawaii lieutenant alex hopper weapon officer assigned us john paul jones part international naval coalition becomes world last hope survival engage hostile force unimaginable strength taking invader must also try live potential brother fiance father admiral shane expect
Jurassic World,action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror twenty two year event jurassic park isla nublar feature fully functioning dinosaur theme world originally envisioned john hammond
Skyfall,action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao bond latest assignment go gravely wrong agent around world exposed mi6 attacked forcing relocate agency event cause authority position challenged gareth mallory new chairman intelligence security committee compromised inside left one ally trust 007 take shadow aided field agent eve following trail mysterious silva whose lethal hidden motif yet reveal
Spider-Man 2,action adventure fantasy dual identity love of one 's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain peter parker going major identity crisis burned spider man decides shelve superhero alter ego leaf city suffering wake carnage left evil doc ock meantime still act feeling mary jane watson girl loved since childhood
Iron Man 3,action adventure science fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis tony stark world torn apart formidable terrorist called mandarin start odyssey rebuilding retribution
Alice in Wonderland,family fantasy adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d alice unpretentious individual 19 year old betrothed dunce english nobleman engagement party escape crowd consider whether go marriage fall hole garden spotting unusual rabbit arriving strange surreal place called underland find world resembles nightmare child filled talking animal villainous queen knight frumious bandersnatches realizes reason conquer horrific jabberwocky restore rightful queen throne
X-Men: The Last Stand,adventure action science fiction thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger cure found treat mutation line drawn amongst x men brotherhood band powerful mutant organized xavier former ally magneto
Monsters University,animation family monster dormitory game animation best friend university scary aftercreditsstinger look relationship mike sulley day monster university necessarily best friend
Transformers: Revenge of the Fallen,science fiction action adventure egypt sun chaos symbol artifact transformer tank robot imax duringcreditsstinger sam witwicky leaf autobots behind normal life mind filled cryptic symbol decepticons target dragged back transformer war
Transformers: Age of Extinction,science fiction action adventure sequel alien transformer giant robot robot imax transforming robot humanity pick piece following conclusion transformer dark moon autobots decepticons vanished face planet however group powerful ingenious businessman scientist attempt learn past transformer incursion push boundary technology beyond control ancient menace set earth cross hair
Oz: The Great and Powerful,fantasy adventure family circus witch magic hope illusion lost magic trick wizard 3d oscar diggs small time circus illusionist con artist whisked kansa land oz inhabitant assume great wizard prophecy save clutch evil
The Amazing Spider-Man 2,action adventure fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super power peter parker life busy taking bad guy spider man spending time person love gwen stacy high school graduation can not come quickly enough forgotten promise made father protect staying away keep thing change new villain electro emerges old friend harry osborn return uncovers clue past
TRON: Legacy,adventure action science fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy sam flynn tech savvy daring son kevin investigates father disappearance pulled grid help mysterious program named quorra quest stop evil dictator clu crossing real world
Cars 2,animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger star race car lightning mcqueen pal mater head overseas compete world grand prix road championship becomes rocky get caught intriguing adventure international espionage
Green Lantern,adventure action thriller science fiction dc comic transformation superhero alien alien infection magical object protector super power origin 3d century small powerful force warrior called green lantern corp sworn keep intergalactic order wear ring grant superpower new enemy parallax threatens destroy balance power universe fate earth lie hand first human ever recruited
Toy Story 3,animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy come to life personification inanimate object coming to life toy story woody buzz rest andy toy played year go college gang find accidentally left nefarious day care center must band together escape return home
Terminator Salvation,action science fiction thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles grown post apocalyptic 2018 john connor must lead resistance human increasingly dominating militaristic robot marcus wright appears existence confuses mission try determine whether come future past friend foe
Furious 7,action car race speed revenge suspense car race muscle car deckard shaw seek revenge dominic toretto family comatose brother
World War Z,action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapon multiple perspective zombie apocalypse life former united nation investigator gerry lane family seems content suddenly world plagued mysterious infection turning whole human population rampaging mindless zombie barely escaping chaos persuaded go mission investigate disease follows perilous trek around must brave horrific danger long odds find answer civilization fall
X-Men: Days of Future Past,action adventure fantasy science fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future ultimate x men ensemble fight war survival specie across two time period join force younger self epic battle must change past save future
Star Trek Into Darkness,action adventure science fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d crew enterprise called back home find unstoppable force terror within organization detonated fleet everything stand leaving world state crisis personal score settle captain kirk lead manhunt war zone capture one man weapon mass destruction hero propelled epic chess game life death love challenged friendship torn apart sacrifice must made family left
Jack the Giant Slayer,action family fantasy based on fairy tale giant story ancient war reignited young farmhand unwittingly open gateway world fearsome race giant unleashed earth first time century strive reclaim land lost forcing man jack battle life stop fighting kingdom people love brave princess come face unstoppable warrior thought existed legend get chance become
The Great Gatsby,drama romance based on novel infidelity obsession hope 3d adaptation f scott fitzgerald long island set novel midwesterner nick carraway lured lavish world neighbor jay gatsby soon enough however see crack nouveau riche existence obsession madness tragedy await
Prince of Persia: The Sands of Time,adventure fantasy action romance persia sandstorm brother against brother armageddon regent based on video game rogue prince reluctantly join force mysterious princess together race dark safeguard ancient dagger capable releasing sand time gift god reverse allow possessor rule world
Pacific Rim,action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d legion monstrous creature known kaiju started rising sea war began would take million life consume humanity resource year end combat giant special type weapon devised massive robot called jaeger controlled simultaneously two pilot whose mind locked neural bridge even proving nearly defenseless face relentless verge defeat force defending mankind choice turn unlikely hero washed former pilot charlie hunnam untested trainee rinko kikuchi teamed drive legendary seemingly obsolete jaeger past together stand last hope mounting apocalypse
Transformers: Dark of the Moon,action science fiction adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformer giant robot sabotage word domination commando duringcreditsstinger sam witwicky take first tenuous step adulthood remaining reluctant human ally autobot leader optimus prime film center around space race ussr usa suggesting hidden transformer role remains one planet dangerous secret
Indiana Jones and the Kingdom of the Crystal Skull,adventure action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenon maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology set cold war soviet led sword wielding irina spalko search crystal skull supernatural power related mystical lost city gold captured escaping indy coerced head peru behest young man whose friend colleague professor oxley knowledge whereabouts
The Good Dinosaur,adventure animation family tyrannosaurus rex friend alternate history dinosaur fear storm nature human journey epic journey world dinosaur apatosaurus named arlo make unlikely human friend
Brave,animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turn into animal archery ruin aftercreditsstinger peace offering woman director courage 3d brave set mystical scottish highland mrida princess kingdom ruled king fergus queen elinor unruly daughter accomplished archer one day defies sacred custom land inadvertently brings turmoil attempt thing right seek eccentric old wise woman granted ill fated wish also figuring quest serving comic relief three lord enormous lord macguffin surly macintosh disagreeable dingwall
Star Trek Beyond,action adventure science fiction sequel stranded hatred space opera us enterprise crew explores furthest reach uncharted space encounter mysterious new enemy put everything federation stand test
WALL·E,animation family romantic comedy wall e last robot left earth overrun garbage human fled outer space 700 year continued try clean mess developed rather interesting human like quality ship arrives sleek new type think finally found friend stows away leaf
Rush Hour 3,action comedy crime thriller ambassador attempted assassination ambassador han inspector lee detective carter back action head paris protect french woman knowledge triad secret leader also hold meeting united nation authority personal struggle chinese criminal mastermind named kenji reveals long lost brother
2012,action adventure science fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction of mankind dr adrian helmsley part worldwide geophysical team investigating effect earth radiation unprecedented solar storm learns core heating warns u president thomas wilson crust becoming unstable without proper preparation saving fraction world population entire race doomed meanwhile writer jackson curtis stumble information leader build ark escape impending cataclysm struggle find way save family volcanic eruption earthquake strength wreak havoc around
A Christmas Carol,animation drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas miser ebenezer scrooge awakened christmas eve spirit reveal miserable existence opportunity wasted youth current cruelty dire fate awaits change way faced story growing bitterness meanness must decide future hold death redemption
Jupiter Ascending,science fiction fantasy action adventure jupiter space woman director 3d interspecies romance universe human genetic material precious commodity impoverished young earth woman becomes key strategic maneuver internal strife within powerful dynasty
The Legend of Tarzan,action adventure africa feral child tarzan jungle animal attack tarzan acclimated life london called back former home jungle investigate activity mining encampment
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger sibling lucy edmund susan peter step magical wardrobe find land narnia discover charming peaceful kingdom plunged eternal winter evil white witch jadis aided wise magnificent lion aslan child lead spectacular climactic battle free glacial power forever
X-Men: Apocalypse,science fiction mutant supernatural power marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s emergence world first mutant destroyer apocalypse x men must unite defeat extinction level plan
The Dark Knight,drama action crime thriller dc comic crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super power batman batman raise stake war crime help lt jim gordon district attorney harvey dent set dismantle remaining criminal organization plague street partnership prof effective soon find prey reign chaos unleashed rising mastermind known terrified citizen gotham joker
Up,animation comedy family adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring carl fredricksen spent entire life dreaming exploring globe experiencing fullest age 78 seems passed twist fate persistent 8 year old wilderness explorer named russell give new lease
Monsters vs Aliens,animation family adventure science fiction alien giant robot duringcreditsstinger susan murphy unwittingly clobbered meteor full outer space gunk wedding day mysteriously grows 49 foot 11 inch military jump action capture secreting away covert government compound renamed ginormica placed confinement ragtag group monster
Iron Man,action science fiction adventure middle east arm dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil
Hugo,adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d hugo orphan boy living wall train station 1930s paris learned fix clock gadget father uncle put use keeping running thing left connects dead automaton mechanical man work without special key need find unlock secret belief contains adventure meet shopkeeper george melies work adventure seeking god daughter find surprising connection discovers unlocks memory old buried inside regarding past
Wild Wild West,action adventure comedy science fiction western steampunk based on tv series steam locomotive drag legless southern inventor dr arliss loveless plan rekindle civil war assassinating president u grant two men stop gunfighter james west master disguise artemus gordon must team thwart
The Mummy: Tomb of the Dragon Emperor,adventure action fantasy archaeologist rick connell travel china pitting emperor 2 000 year old han dynasty returned dead pursue quest world domination time enlists help wife son quash called dragon abuse supernatural power
Suicide Squad,action adventure crime fantasy science fiction dc comic shared universe anti hero secret mission villain superhero supervillain dc extended universe dc comic come suicide squad antihero team incarcerated supervillains act deniable asset united state government undertaking high risk black ops mission exchange commuted prison sentence
Evan Almighty,fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah 's ark god contact congressman evan baxter tell build ark preparation great flood
Edge of Tomorrow,action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton major bill cage officer never seen day combat unceremoniously demoted dropped killed within minute managing take alpha alien awakens back beginning forced fight die physical contact thrown time loop
Waterworld,adventure action ocean tattoo mutant water dystopia doomsday futuristic world polar ice cap melted made earth liquid planet beautiful barmaid rescue mutant seafarer floating island prison escape along young charge enola sail aboard ship trio soon becomes target menacing pirate covets map dryland tattooed back
G.I. Joe: The Rise of Cobra,adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist laser evil cobra egyptian desert deep polar ice cap elite g joe team us latest next generation spy military equipment fight corrupt arm dealer destro growing threat mysterious cobra organization prevent plunging world chaos
Inside Out,drama comedy animation family dream cartoon imaginary friend animation family moving kid unicorn duringcreditsstinger 3d emotion growing bumpy road exception riley uprooted midwest life father start new job san francisco like u guided emotion joy fear anger disgust sadness live headquarters control center inside mind help advise everyday struggle adjust turmoil ensues although main important emotion try keep thing positive conflict best navigate city house school
The Jungle Book,family adventure drama fantasy based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animal threat tiger shere khan force flee jungle man cub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo
Iron Man 2,adventure action science fiction malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe world aware dual life armored superhero iron man billionaire inventor tony stark face pressure government press public share technology military unwilling let go invention pepper potts james rhodey rhodes side must forge new alliance confront powerful enemy
Snow White and the Huntsman,adventure fantasy drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress evil queen marries king performs violent coup murdered daughter snow white taken captive almost decade later grown still clutch order obtain immortality need heart escape castle sends huntsman find dark forest
Maleficent,fantasy adventure action family romance fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d untold story disney iconic villain 1959 classic sleeping beauty beautiful pure hearted young woman maleficent idyllic life growing peaceable forest kingdom one day invading army threatens harmony land rise fiercest protector ultimately suffers ruthless betrayal act begin turn heart stone bent revenge face epic battle king successor result place curse upon newborn infant aurora child grows realizes hold key peace true happiness well
Dawn of the Planet of the Apes,science fiction action drama thriller leader colony post-apocalyptic dystopia forest sequel wood ape scientist monkey medical research animal attack plague 3d group scientist san francisco struggle stay alive aftermath plague wiping humanity caesar try maintain dominance community intelligent ape
The Lovers,action adventure science fiction romance lover epic romance time travel adventure film helmed roland joff story ajey jhankar sweeping tale impossible love set backdrop first anglo maratha war across two period continent centred around four character british officer 18th century colonial india indian woman fall deeply american present day marine biologist wife
47 Ronin,drama action adventure fantasy japan suicide samurai based on true story samurai sword ronin shogun half breed 3d based original 1941 movie japan ancient enduring tale epic 3d fantasy adventure 47 ronin born keanu reef lead cast kai outcast join oishi hiroyuki sanada leader samurai together seek vengeance upon treacherous overlord killed master banished kind restore honor homeland warrior embark quest challenge series trial would destroy ordinary
Captain America: The Winter Soldier,action adventure science fiction washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller cataclysmic event new york avenger steve rogers aka captain america living quietly washington c trying adjust modern world h e l colleague come attack becomes embroiled web intrigue threatens put risk joining force black widow struggle expose ever widening conspiracy fighting professional assassin sent silence every turn full scope villainous plot revealed enlist help ally falcon however soon find unexpected formidable enemy winter soldier
Shrek Forever After,comedy adventure fantasy animation family ogre 3d bored domesticated shrek pact deal maker rumpelstiltskin get back feeling like real ogre duped sent twisted version far away king ogre hunted fiona never met set restore world reclaim true love
Tomorrowland,adventure family mystery science fiction inventor apocalypse destiny imax dreamer futuristic car futuristic city bound shared destiny bright optimistic teen bursting scientific curiosity former boy genius inventor jaded disillusionment embark danger filled mission unearth secret enigmatic place somewhere time space exists collective memory tomorrowland
Big Hero 6,adventure family animation action comedy brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother special bond develops plus sized inflatable robot baymax prodigy hiro hamada team group friend form band high tech hero
Wreck-It Ralph,family animation comedy adventure support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q * bert interrupted wedding social reject wreck ralph 9 foot tall 643 pound villain arcade video game named fix felix jr titular hero fix building destroys wanting prove good guy escape land duty first person shooter help battle alien invader later enters sugar rush kart racing set track made candy cooky sweet meet vanellope von schweetz learned faced dire threat could affect entire one may inadvertently started
The Polar Express,adventure animation family fantasy santa claus nerd faith gift bell beard north pole chute trestle ticket christmas doubting young boy take extraordinary train ride north pole embarks journey self discovery show wonder life never fade believe
Independence Day: Resurgence,action adventure science fiction alternate history alien invasion always knew coming back using recovered alien technology nation earth collaborated immense defense program protect planet nothing prepare u alien advanced unprecedented force ingenuity brave men woman bring world brink extinction
How to Train Your Dragon,fantasy adventure animation family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior son viking leader cusp manhood shy hiccup horrendous haddock iii face rite passage must kill dragon prove warrior mettle downing feared realizes longer want destroy instead befriends beast name toothless much chagrin father
Terminator 3: Rise of the Machines,action thriller science fiction saving the world artificial intelligence man v machine cyborg killer robot sun glass leather jacket nanotechnology rocket launcher fireman veterinarian fire engine dystopia psychiatrist 10 year since john connor saved earth judgment day living radar steering clear using anything skynet trace encounter x robotic assassin ordered finish 1000 started good thing former nemesis terminator back aid adult like promised
Guardians of the Galaxy,action science fiction adventure marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe light year earth 26 abducted peter quill find prime target manhunt discovering orb wanted ronan accuser
Interstellar,adventure drama science fiction saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanic spaceship space rescue family relationship farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity interstellar chronicle adventure group explorer make use newly discovered wormhole surpass limitation human space travel conquer vast distance involved voyage
Inception,action thriller science fiction mystery adventure loss of lover dream kidnapping sleep subconsciousness heist redemption female hero cobb skilled thief commits corporate espionage infiltrating subconscious target offered chance regain old life payment task considered impossible inception implantation another person idea target
Shin Godzilla,action adventure drama horror science fiction monster godzilla giant monster destruction kaiju toyko mind behind evangelion come hit larger life massive gilled monster emerges deep tear city government scramble save citizen rag tag team volunteer cut web red tape uncover weakness mysterious tie foreign superpower time side greatest catastrophe ever befall world evolve right eye
The Hobbit: An Unexpected Journey,adventure fantasy action riddle elf dwarf orcs middle-earth ( tolkien ) hobbit mountain wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnome bilbo baggins hobbit enjoying quiet life swept epic quest gandalf grey thirteen dwarf seek reclaim mountain home smaug dragon
The Fast and the Furious,action crime thriller street gang car race undercover auto-tuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger domenic toretto los angeles street racer suspected masterminding series big rig hijacking undercover cop brian conner infiltrates iconoclastic crew fall sister must choose side gang lapd
The Curious Case of Benjamin Button,fantasy drama thriller mystery romance diary navy funeral tea travel hospital tell story benjamin button man start aging backwards bizarre consequence
X-Men: First Class,action science fiction adventure cia mutant mine marvel comic superhero based on comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s charles xavier erik lensherr took name professor x magneto two young men discovering power first time arch enemy closest friend working together mutant familiar new stop greatest threat world ever known
The Hunger Games: Mockingjay - Part 2,action adventure science fiction revolution strong woman dystopia game of death 3d based on young adult novel nation panem full scale war katniss confronts president snow final showdown teamed group closest friend including gale finnick peeta go mission unit district 13 risk life stage assassination attempt become increasingly obsessed destroying mortal trap enemy moral choice await challenge arena faced hunger game
The Sorcerer's Apprentice,fantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana balthazar blake master sorcerer modern day manhattan trying defend city arch nemesis maxim horvath alone recruit dave stutler seemingly average guy demonstrates hidden potential reluctant protg give unwilling accomplice crash course art science magic together unlikely partner work stop force darkness
Poseidon,adventure action drama thriller new year 's eve fire drowning cataclysm loss of father atlantic ocean ball self-abandonment shipwreck giant wave blackout ship daughter single escape capsized ship packed cruise ship traveling atlantic hit overturned massive wave compelling passenger begin dramatic fight life
Alice Through the Looking Glass,fantasy based on novel clock queen sequel alice in wonderland dark fantasy mad hatter 3d sequel tim burton alice wonderland kingsleigh return underland face new adventure saving mad hatter
Shrek the Third,fantasy adventure animation comedy family ambush sadness stage liberation of prisoner island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation trick heir to the throne assault boarding school coup d'etat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger king far away died shrek fiona become amp queen however want return cozy swamp live peace quiet find another heir throne set bring back rule kingdom
Warcraft,action adventure fantasy video game elf orcs magic chase based on comic book sorcerer fictional war based on video game wizard fictional language muscle orc sword and sorcery peaceful realm azeroth stand brink war civilization face fearsome race invader orc warrior fleeing dying home colonize another portal open connect two world one army destruction extinction opposing side hero set collision course decide fate family people
